,unit_id,year,under_construction,comm_op,retired,under_construction_all_1980,comm_op_after_1980,permanently_suspended_1980s,unit_name,site_name,status,iso_3166_a3,subdivision_name,latitude,longitude
10,US - 329 ,1980,1,0,0,1.0,0.0,1,MIDLAND-1,MIDLAND,Construction Cancelled,USA,MI,43.585966,-84.222621
11,US - 329 ,1990,1,0,0,0.0,0.0,1,MIDLAND-1,MIDLAND,Construction Cancelled,USA,MI,43.585966,-84.222621
12,US - 330 ,1990,1,0,0,0.0,0.0,1,MIDLAND-2,MIDLAND,Construction Cancelled,USA,MI,43.585966,-84.222621
13,US - 330 ,1980,1,0,0,1.0,0.0,1,MIDLAND-2,MIDLAND,Construction Cancelled,USA,MI,43.585966,-84.222621
22,US - 355 ,1990,1,0,0,0.0,0.0,1,HOPE CREEK-2,SALEM,Construction Cancelled,USA,NJ,39.4625,-75.5358
23,US - 355 ,1980,1,0,0,1.0,0.0,1,HOPE CREEK-2,SALEM,Construction Cancelled,USA,NJ,39.4625,-75.5358
24,US - 358 ,1980,1,0,0,1.0,0.0,1,ZIMMER-1,ZIMMER,Construction Cancelled,USA,OH,38.866389,-84.228056
25,US - 358 ,1990,1,0,0,0.0,0.0,1,ZIMMER-1,ZIMMER,Construction Cancelled,USA,OH,38.866389,-84.228056
32,US - 367 ,1980,1,0,0,1.0,0.0,1,BAILLY,BAILLY,Construction Cancelled,USA,IN,41.64513,-87.116393
33,US - 367 ,1990,1,0,0,0.0,0.0,1,BAILLY,BAILLY,Construction Cancelled,USA,IN,41.64513,-87.116393
56,US - 401 ,1990,1,0,0,0.0,0.0,1,HARRIS-2C,SHEARON HARRIS,Construction Cancelled,USA,NC,35.6334,-78.9556
57,US - 401 ,1980,1,0,0,1.0,0.0,1,HARRIS-2C,SHEARON HARRIS,Construction Cancelled,USA,NC,35.6334,-78.9556
58,US - 402 ,1990,1,0,0,0.0,0.0,1,HARRIS-3C,SHEARON HARRIS,Construction Cancelled,USA,NC,35.6334,-78.9556
59,US - 402 ,1980,1,0,0,1.0,0.0,1,HARRIS-3C,SHEARON HARRIS,Construction Cancelled,USA,NC,35.6334,-78.9556
60,US - 403 ,1990,1,0,0,0.0,0.0,1,HARRIS-4C,SHEARON HARRIS,Construction Cancelled,USA,NC,35.6334,-78.9556
