,unit_id,year,under_construction,comm_op,retired,under_construction_all_1980,comm_op_after_1980,permanently_suspended_1980s,unit_name,site_name,status,iso_3166_a3,subdivision_name,latitude,longitude
0,US - 275 ,1990,0,1,0,0.0,0.0,0,DIABLO CANYON-1,DIABLO CANYON,Operational,USA,CA,35.2115,-120.8555
1,US - 275 ,1980,1,0,0,1.0,1.0,0,DIABLO CANYON-1,DIABLO CANYON,Operational,USA,CA,35.2115,-120.8555
2,US - 311 ,1980,1,0,0,1.0,1.0,0,SALEM-2,SALEM,Operational,USA,NJ,39.4625,-75.5358
3,US - 311 ,1990,0,1,0,0.0,0.0,0,SALEM-2,SALEM,Operational,USA,NJ,39.4625,-75.5358
4,US - 323 ,1990,0,1,0,0.0,0.0,0,DIABLO CANYON-2,DIABLO CANYON,Operational,USA,CA,35.2115,-120.8555
5,US - 323 ,1980,1,0,0,1.0,1.0,0,DIABLO CANYON-2,DIABLO CANYON,Operational,USA,CA,35.2115,-120.8555
6,US - 327 ,1990,0,1,0,0.0,0.0,0,SEQUOYAH-1,SEQUOYAH,Operational,USA,TN,35.2267,-85.0917
7,US - 327 ,1980,1,0,0,1.0,1.0,0,SEQUOYAH-1,SEQUOYAH,Operational,USA,TN,35.2267,-85.0917
8,US - 328 ,1980,1,0,0,1.0,1.0,0,SEQUOYAH-2,SEQUOYAH,Operational,USA,TN,35.2267,-85.0917
9,US - 328 ,1990,0,1,0,0.0,0.0,0,SEQUOYAH-2,SEQUOYAH,Operational,USA,TN,35.2267,-85.0917
14,US - 341 ,1990,0,1,0,0.0,0.0,0,FERMI-2,ENRICO FERMI,Operational,USA,MI,41.9631,-83.2581
15,US - 341 ,1980,1,0,0,1.0,1.0,0,FERMI-2,ENRICO FERMI,Operational,USA,MI,41.9631,-83.2581
16,US - 352 ,1980,1,0,0,1.0,1.0,0,LIMERICK-1,LIMERICK,Operational,USA,PA,40.2243,-75.5874
17,US - 352 ,1990,0,1,0,0.0,0.0,0,LIMERICK-1,LIMERICK,Operational,USA,PA,40.2243,-75.5874
18,US - 353 ,1980,1,0,0,1.0,1.0,0,LIMERICK-2,LIMERICK,Operational,USA,PA,40.2243,-75.5874
19,US - 353 ,1990,0,1,0,0.0,0.0,0,LIMERICK-2,LIMERICK,Operational,USA,PA,40.2243,-75.5874
20,US - 354 ,1980,1,0,0,1.0,1.0,0,HOPE CREEK-1,SALEM,Operational,USA,NJ,39.4625,-75.5358
21,US - 354 ,1990,0,1,0,0.0,0.0,0,HOPE CREEK-1,SALEM,Operational,USA,NJ,39.4625,-75.5358
26,US - 361 ,1980,1,0,0,1.0,1.0,0,SAN ONOFRE-2,SAN ONOFRE,Permanent Shutdown,USA,CA,33.368889,-117.555
27,US - 361 ,1990,0,1,0,0.0,0.0,0,SAN ONOFRE-2,SAN ONOFRE,Permanent Shutdown,USA,CA,33.368889,-117.555
28,US - 362 ,1980,1,0,0,1.0,1.0,0,SAN ONOFRE-3,SAN ONOFRE,Permanent Shutdown,USA,CA,33.368889,-117.555
29,US - 362 ,1990,0,1,0,0.0,0.0,0,SAN ONOFRE-3,SAN ONOFRE,Permanent Shutdown,USA,CA,33.368889,-117.555
30,US - 364 ,1990,0,1,0,0.0,0.0,0,FARLEY-2,FARLEY,Operational,USA,AL,31.2231,-85.1116
31,US - 364 ,1980,1,0,0,1.0,1.0,0,FARLEY-2,FARLEY,Operational,USA,AL,31.2231,-85.1116
34,US - 369 ,1990,0,1,0,0.0,0.0,0,MCGUIRE-1,MCGUIRE,Operational,USA,NC,35.4331,-80.9486
35,US - 369 ,1980,1,0,0,1.0,1.0,0,MCGUIRE-1,MCGUIRE,Operational,USA,NC,35.4331,-80.9486
36,US - 370 ,1980,1,0,0,1.0,1.0,0,MCGUIRE-2,MCGUIRE,Operational,USA,NC,35.4331,-80.9486
